Date,Close,High,Low,Open,Volume,Returns
2019-01-03,33.76808547973633,34.606409542440964,33.72296262600118,34.19318320289865,365248800,-0.09960711501624997
2019-01-04,35.209617614746094,35.27849047559891,34.1504337518255,34.32379724419946,234428400,0.04268918757253215
2019-01-07,35.13123321533203,35.34497236963013,34.649137872444925,35.31409809069179,219111200,-0.002226221263511685
2019-01-08,35.80095291137695,36.05506423362693,35.271361057087084,35.51834447775036,164101200,0.019063369963131294
2019-01-09,36.408912658691406,36.6986453479839,35.534967488442895,35.929190786032024,180396400,0.016981663835021976
2019-01-10,36.52528381347656,36.56565592820539,35.82707561156554,36.21655182724987,143122800,0.003196227140207508
2019-01-11,36.16668701171875,36.501542638359126,35.98144849990563,36.30680629526423,108092800,-0.009817769071667093
2019-01-14,35.622840881347656,35.924448615457706,35.43760239866407,35.824705095839064,129756800,-0.015037211735619449
2019-01-15,36.351924896240234,36.42791840883774,35.634717322934954,35.68696444823326,114843600,0.020466756632942618
2019-01-16,36.7960205078125,37.01925755806657,36.33529785069117,36.354297134089684,122278800,0.012216563850190987
2019-01-17,37.014503479003906,37.4419782573986,36.39703950757352,36.62027653760977,119284800,0.005937679351630365
2019-01-18,37.242496490478516,37.49423066668109,37.04300581658366,37.40398497191301,135004000,0.006159558822771638
2019-01-22,36.40654754638672,37.2211215121317,36.2450554347819,37.145127995415336,121576000,-0.02244610385626311
2019-01-23,36.55378341674805,36.84351614102213,36.02656509052752,36.60840409054777,92522400,0.004044214029735427
2019-01-24,36.26405334472656,36.6867774572087,36.03606917947976,36.598908937659715,101766000,-0.007926130893710415
2019-01-25,37.46572494506836,37.5535970765076,36.6487775687618,36.92425809596469,134142000,0.03313671499759541
2019-01-28,37.11899185180664,37.126116128342424,36.49203015046435,36.997871903214524,104768400,-0.009254674606459456
2019-01-29,36.73427963256836,37.55360804703565,36.59891469261955,37.1071338529194,166348800,-0.01036429601251565
2019-01-30,39.24449157714844,39.45822714683114,38.052312966631995,38.76952042341593,244439200,0.06833431796371858
2019-01-31,39.527095794677734,40.13505822707616,39.08062179799805,39.44872512778767,162958400,0.007201118072169166
2019-02-01,39.54610061645508,40.13031312607623,39.405981367304726,39.65059485362112,130672400,0.00048080491104296463
2019-02-04,40.66940689086914,40.76677685151774,39.72658881786463,39.757463103861134,125982000,0.02840498195532981
2019-02-05,41.36524200439453,41.578981228642604,40.93064652495009,41.051762882070676,144406400,0.01710954662782682
2019-02-06,41.37948226928711,41.69533847596294,41.04937750984635,41.47684858776138,112958400,0.0003442567770077787
2019-02-07,40.595794677734375,41.30825157661004,40.45330184846197,40.94252167255768,126966800,-0.018939038107163686
2019-02-08,40.64347839355469,40.70310440951638,40.168853996357676,40.30480305960627,95280000,0.0011745974231776035
2019-02-11,40.40975570678711,40.83429643477586,40.36682670736698,40.79613489799055,83973600,-0.005750558170844022
2019-02-12,40.75796890258789,40.784204501347254,40.47414841763224,40.569552249159045,89134000,0.008617057681006957
2019-02-13,40.5886344909668,41.137194763699675,40.526624722123245,40.87722611368674,89960800,-0.004154633220948889
2019-02-14,40.73649978637695,40.84620963108841,40.39782441124615,40.476531198600185,87342800,0.003643022172698629
2019-02-15,40.6458740234375,40.95115902339319,40.48607669059228,40.84383289109825,98507200,-0.002224682125727462
2019-02-19,40.76750564575195,40.88914507060669,40.42406278544301,40.4765339806188,75891200,0.0029924715665929913
2019-02-20,41.02986145019531,41.33753378782997,40.781818778905716,40.82951887269788,104457600,0.0064354146835250425
2019-02-21,40.79851150512695,41.11095129951937,40.61724969597512,40.97500585247645,68998800,-0.005638574854784362
2019-02-22,41.25405502319336,41.26120985514692,40.87483437251925,40.92253446530428,75652800,0.011165689660250555
2019-02-25,41.554561614990234,41.94570813026803,41.487780768914746,41.537868223112945,87493600,0.0072842922138909305
2019-02-26,41.57842254638672,41.809771827642344,41.30175690127716,41.430551160576144,68280800,0.0005742072703729395
2019-02-27,41.707218170166016,41.738224873214264,41.19681945157351,41.31130406008195,111341600,0.0030976553676516083
2019-02-28,41.29698181152344,41.7167513399161,41.24212688971162,41.57603479995883,112861600,-0.009836099760209605
2019-03-01,41.73107147216797,41.77400047236852,41.234982402793754,41.56650302616348,103544800,0.010511413706350003
2019-03-04,41.94096374511719,42.394120255566705,41.49257469823671,41.90280220085392,109744800,0.005029640158872972
2019-03-05,41.8646240234375,41.97672124062049,41.62850365631687,41.962411577028405,78949600,-0.0018201708988763166
2019-03-06,41.62374496459961,41.85509427950601,41.4854121219237,41.65951913111731,83241600,-0.0057537614264262515
2019-03-07,41.141971588134766,41.604670285672434,41.027490599237154,41.46872115443744,99185600,-0.011574484152605313
2019-03-08,41.23974609375,41.27790762437119,40.42644621389484,40.622021328865515,95997600,0.0023765148300143313
2019-03-11,42.66838073730469,42.72085192885243,41.82169411946825,41.85508454688193,128044000,0.034642178453450745
2019-03-12,43.14777374267578,43.567539610964324,42.78047542355031,42.93073415767286,129870400,0.011235322200825015
2019-03-13,43.33858871459961,43.71780942231808,43.15016840672244,43.46737934842093,124130000,0.004422359611455429
2019-03-14,43.82036590576172,43.908614914858006,43.54131649050845,43.8609111740343,94318000,0.011116586982903076
2019-03-15,44.39038848876953,44.67898009371108,43.82275112158004,44.08749085728255,156171600,0.01300816575182595
2019-03-18,44.84354782104492,44.93179318512388,44.31168098754593,44.3140683580027,104879200,0.010208501157633165
2019-03-19,44.488182067871094,45.07490392114361,44.34269438014027,44.92226139953133,126585600,-0.007924568203032667
2019-03-20,44.87693786621094,45.19414879506152,44.05886680985221,44.416623003991106,124140800,0.008738406027622325
2019-03-21,46.52976989746094,46.825516329115906,45.2704683808724,45.320555849510406,204136800,0.03683032109226114
2019-03-22,45.56620788574219,47.14987492430253,45.50181076136391,46.58938884769909,169630800,-0.02070850584136097
2019-03-25,45.0152702331543,45.78802127537282,44.50487154702467,45.67592404455743,175381200,-0.012090926108430433
2019-03-26,44.5501823425293,46.002675178612826,44.02309028279383,45.71169986519132,199202000,-0.01033178048729022
2019-03-27,44.95087432861328,45.25854305952079,44.49294682904075,45.01765519484567,119393600,0.008994171628821102
2019-03-28,45.010494232177734,45.210836803591036,44.72667376970035,45.065349156408665,83121600,0.0013263346810252763
2019-03-29,45.30386734008789,45.33487404742733,44.96757557971136,45.27524800364219,94256000,0.006517882394200036
2019-04-01,45.61153030395508,45.71646906225277,44.92940835895731,45.70693049851085,111448000,0.006791097138741264
2019-04-02,46.274566650390625,46.37950903701482,45.56620917996109,45.57574774270704,91062800,0.014536595067454972
2019-04-03,46.59178924560547,46.866067574679796,46.067077180669855,46.09092905245227,93087200,0.006855225627751205
2019-04-04,46.67287826538086,46.83505934250355,46.06469194760166,46.458222344190496,76457200,0.0017404143753299017
2019-04-05,46.985313415527344,47.009165284142306,46.7301122506272,46.85413541671345,74106400,0.006694147902556624
2019-04-08,47.72467803955078,47.755681101848495,46.82790017839874,46.84698094558115,103526800,0.01573607943155908
2019-04-09,47.58158493041992,48.38057540626881,47.51718778143909,47.777160109070955,143072800,-0.00299830433664261
2019-04-10,47.848697662353516,47.8773206328261,47.26674699962892,47.38599906529268,86781200,0.005613783826751595
2019-04-11,47.450401306152344,47.939335555847514,47.32876549622773,47.90356138801222,83603200,-0.008324079351370584
2019-04-12,47.43132019042969,47.734221486599644,46.79690190331519,47.51002699837706,111042800,-0.0004021275942335256
2019-04-15,47.517173767089844,47.66504879296179,47.226198455924894,47.36214754820143,70146400,0.001810060869388952
2019-04-16,47.52194595336914,48.02757352365968,47.357377528133505,47.57203341989984,102785600,0.00010043076851928845
2019-04-17,48.44733810424805,48.5069641281486,47.36929857312662,47.591105635180504,115627200,0.019472943127938125
2019-04-18,48.621463775634766,48.6906283886764,48.30186903803461,48.44496936686441,96783200,0.003594122571028313
2019-04-22,48.78125,48.87903756789539,48.25892536678017,48.375793702017404,77758000,0.003286331014273225
2019-04-23,49.48483657836914,49.54923371338613,48.63099134409102,48.7573982436491,93292000,0.014423299492512864
2019-04-24,49.408512115478516,49.723335647068595,49.38227651790569,49.456212209442604,70162400,-0.0015423808214410917
2019-04-25,48.96012878417969,49.55161802291001,48.921967248962424,49.329810923117755,74172800,-0.009075021936520988
2019-04-26,48.72639846801758,48.893350644801465,48.20645752970833,48.869498774138975,74596400,-0.004773890959160143
2019-04-29,48.80033493041992,49.12470072433398,48.621456815525065,48.75024745696415,88818800,0.0015173799978438485
2019-04-30,47.860618591308594,48.51173378273669,47.4885527676354,48.43064325999435,186139600,-0.01925635019618588
2019-05-01,50.20989227294922,51.352325495464314,49.90221989618125,50.05724976982913,259309200,0.04908573584686704
2019-05-02,49.88313674926758,50.71790119448601,49.63986515980281,50.04770517932468,127985200,-0.006507791769505222
2019-05-03,50.503238677978516,50.524703171639125,50.14071145926002,50.29812502467135,83569600,0.012431093333761689
2019-05-06,49.72333908081055,49.809200711588794,48.53558955444818,48.72400621236716,129772400,-0.01544256601325722
2019-05-07,48.382938385009766,49.47051642035154,47.89877538804212,49.1032217341043,155054800,-0.026957173845914784
2019-05-08,48.392478942871094,48.97442951122127,48.11820069203762,48.15397485022159,105358000,0.0001971884755203046
2019-05-09,47.87255859375,48.10152056516905,46.904232219536055,47.79623551042037,139634400,-0.010743825496827286
2019-05-10,47.2093505859375,47.60918957732427,46.15349960538394,47.266813330080936,164834800,-0.013853615250451368
2019-05-13,44.465576171875,45.36580404744378,43.7784343150076,44.94202857472407,229722400,-0.0581193000964475
2019-05-14,45.169456481933594,45.41845431172062,44.3913332405644,44.63075577637031,146118800,0.01582978048767103
2019-05-15,45.710567474365234,45.909288693023,44.53739806425962,44.59725372096499,106178800,0.011979577231531868
2019-05-16,45.50944519042969,46.08166501987308,45.21255987117796,45.468743789558665,132125600,-0.004399907834185979
2019-05-17,45.25087356567383,45.7057750661255,44.714565600818894,44.755267006370964,131516400,-0.005681713404193212
2019-05-20,43.835880279541016,44.13755507522487,43.1631033991647,43.93883389096766,154449200,-0.0312699661826239
2019-05-21,44.67625427246094,45.011444418513406,44.221349184762765,44.345849947567366,113459200,0.019170916326097798
2019-05-22,43.76166915893555,44.4631793828225,43.70660297552515,44.2117848841149,118994400,-0.020471391982589626
2019-05-23,43.01466369628906,43.22535309271578,42.57173044037936,43.04818271299096,146118800,-0.017069857640335417
2019-05-24,42.849464416503906,43.608433644945144,42.76566504244201,43.143953201217286,94858800,-0.003840534031640197
2019-05-28,42.67228317260742,43.23732057790703,42.595669850740556,42.837485328671484,111792800,-0.004134969860399074
2019-05-29,42.468780517578125,42.94044331585505,42.138376171721504,42.23893322191725,113924800,-0.004768965705587824
2019-05-30,42.68905258178711,42.91171385804956,42.29879255396897,42.605253206009266,84873600,0.005186682111529173
2019-05-31,41.91572952270508,42.61484329625762,41.89657527028308,42.19345704957382,108174400,-0.018115254668639835
2019-06-03,41.491943359375,42.5980747635717,40.76649306788243,42.042616150312135,161584400,-0.010110432721933682
2019-06-04,43.0098762512207,43.05536713031265,41.78403369307506,42.00430204941067,123872000,0.036583798418367675
2019-06-05,43.70418930053711,44.290777452301086,43.368999202356044,44.12078583967478,119093600,0.016143107347273533
2019-06-06,44.34585952758789,44.40571518469204,43.6108303047652,43.83349524890833,90105200,0.014682121721518726
2019-06-07,45.526206970214844,45.94998600483363,44.477538442467015,44.65470883240894,122737600,0.02661685792543156
2019-06-10,46.10800552368164,46.77599298149099,45.87815821635535,45.92364909565006,104883600,0.012779420737761837
2019-06-11,46.64192199707031,46.92683551148941,46.352222660423585,46.65389385923823,107731600,0.011579691364321576
2019-06-12,46.49348449707031,46.91965651730608,46.30194564843296,46.4360217464892,73012800,-0.0031824910647834104
2019-06-13,46.48388671875,47.11596210594479,46.35220723861215,46.61556985218604,86698400,-0.0002064327598615412
2019-06-14,46.146305084228516,46.34981206628546,45.562113458938825,45.861391656050486,75046000,-0.007262336657948065
2019-06-17,46.42164993286133,46.677833880392626,46.00984274939172,46.18462023261922,58676400,0.00596677996494499
2019-06-18,47.51341247558594,47.95394916644094,46.73768561849317,46.93879971823583,106204000,0.02351839161907443
2019-06-19,47.37454605102539,47.85578778829949,47.240469987030195,47.80790034833085,84496800,-0.0029226784043747678
2019-06-20,47.75522994995117,48.03056445872031,47.41285375699523,47.9731017236882,86056000,0.008035621038263052
2019-06-21,47.59242248535156,48.08802900374868,47.44158508352656,47.597211960109185,191202400,-0.0034092070076980896
2019-06-24,47.544551849365234,47.92284008728449,47.44638768282357,47.534972897200284,72881600,-0.0010058457520429887
2019-06-25,46.823875427246094,47.70734167307266,46.75683374423649,47.50862049453703,84281200,-0.01515791808076039
2019-06-26,47.836639404296875,48.12155290184591,47.2500547257955,47.35061178611295,104270000,0.021629221584283265
2019-06-27,47.822261810302734,48.260405518479544,47.781560414893725,47.953941291150265,83598800,-0.00030055610455048676
2019-06-28,47.38650894165039,47.76479699534766,47.17821249974861,47.56846875787394,124442400,-0.009111925119327347
2019-07-01,48.255619049072266,48.959521979698415,48.04013654706308,48.64348243807098,109012000,0.01834087648220839
2019-07-02,48.538143157958984,48.633914390891135,48.210135361751455,48.22210722253035,67740800,0.005854740120511348
2019-07-03,48.940372467041016,48.94755485247247,48.52856532024344,48.66982377146037,45448000,0.008286870549889969
2019-07-05,48.89728546142578,49.10079616973039,48.57885290715956,48.686596019379415,69062000,-0.0008803979913363236
2019-07-08,47.889305114746094,48.21970578842082,47.50383461771007,48.07844734407372,101354400,-0.02061423936252793
2019-07-09,48.18140411376953,48.24604558375023,47.59960531085121,47.69297997634442,82312000,0.0060994620473933114
2019-07-10,48.65785217285156,48.77756346841761,48.25801688405682,48.32745148133247,71588400,0.009888629604006605
2019-07-11,48.30350112915039,48.93557653682741,48.29392583427121,48.676999735509774,80767200,-0.007282504834828729
2019-07-12,48.674617767333984,48.84221286513295,48.41125143272195,48.47110708574294,70380800,0.007683017369513934
2019-07-15,49.13191604614258,49.28993219429551,48.84221307681378,48.863760235202925,67789600,0.009395005031051173
2019-07-16,48.96192932128906,49.34739991342239,48.72250668402115,48.98347648185129,67467200,-0.003459802477352447
2019-07-17,48.68659210205078,49.10318513012988,48.667437853715064,48.85418720836417,56430000,-0.005623496113307036
2019-07-18,49.23964309692383,49.29231635081576,48.77037328587706,48.84220078239317,74162400,0.011359410691835103
2019-07-19,48.504615783691406,49.44075887452363,48.449549617553735,49.270767248666,83717200,-0.014927551602792577
2019-07-22,49.61314392089844,49.615536831346986,48.74882832018021,48.75840361527281,89111600,0.022854075211121483
2019-07-23,50.00102233886719,50.017783676941924,49.629916523049886,49.91004422158838,73420800,0.007818057621729713
2019-07-24,49.960323333740234,50.075245181428414,49.601189363077445,49.72090068663171,59966400,-0.0008139634596094902
2019-07-25,49.56525802612305,50.096776386917014,49.49582343979237,50.01297703191054,55638400,-0.007907581081453618
2019-07-26,49.7376594543457,50.21410815935007,49.59400441218691,49.6754072312038,70475600,0.0034782715774785977
2019-07-29,50.20212936401367,50.43197666906582,49.90524767605758,49.910037151014635,86693600,0.00933839498608302
2019-07-30,49.98665237426758,50.317056746119604,49.63470084424237,49.98186289912939,135742800,-0.004292188249300666
2019-07-31,51.006595611572266,53.0009865627098,50.590002572472564,51.81584527199262,277125600,0.02040431172841939
2019-08-01,49.90284729003906,52.201305551333476,49.49822619298105,51.21248911312201,216071600,-0.02163932543035252
2019-08-02,48.847007751464844,49.424013533999364,48.27478779132679,49.20853462057314,163448400,-0.021157901721270522
