,Date,Close,High,Low,Open,Volume,Returns,Rolling Mean,Rolling Volatility,Cumulative Return,Fear_Greed,Risk_Adjustment_Returns,Fear_Signal,Investor_Bias,Recommendataion,sharpe_Rato,Rolling_Sharpe,Performance,Recommendation,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Market_Return,Recommendation_Shifted,Momentum,MA_Short,MA_Long,MA_crossover,Volatility_Change,Price_Change,predictions,Model_Strategy_Return,Cumulative_Model_Return
132,2019-08-23,48.700927734375,50.96245512141073,48.30678298506462,50.33278212314745,187272000,-0.0462206586536683,49.28964703877767,0.0205178985739113,1.1998661286625354,Fear,-2.252699441278957,Fear,Fear,Buy,-2.252699441278957,0.0329749663263336,Good,Buy,-0.0462206586536683,0.93708449421601,1.0167347996949434,Buy,-0.9276924133300781,50.39527435302735,49.26436538696289,1,0.1043548505460945,-0.04622065865366831,Hold,0.0,1.0
163,2019-10-08,53.93056106567383,54.81017807266463,53.91373971335013,54.27183612343445,111820000,-0.0117150051750564,52.313769022623696,0.0138617531833831,1.328710900034745,Greed,-0.8451315659767963,Greed,Neutral,Hold,-0.8451315659767963,0.1430309012583386,Good,Hold,0.0,0.9585050723702688,1.0048237462548573,Hold,-0.04566192626953125,53.7503158569336,53.238888549804685,1,-0.001437144023497372,-0.011715005175056525,Hold,0.0,1.0
167,2019-10-14,56.68716049194336,57.23031366508729,56.398762556627126,56.45403794132788,96427600,-0.0014398292229625,53.12897567749023,0.0142190651269747,1.396626449814648,Greed,-0.101260470368831,Greed,Neutral,Hold,-0.101260470368831,0.245599262798566,Good,Hold,0.0,0.9585050723702688,1.003376971661073,Hold,2.1173133850097585,55.44946212768555,53.7660572052002,1,0.00013995827640123082,-0.0014398292229627074,Hold,0.0,1.0
170,2019-10-17,56.54536819458008,56.754456066409766,56.12238477939046,56.49970448298994,67585200,0.0038823752583942,53.74422607421875,0.0133935265857903,1.3931330507599238,Greed,0.2898695301439995,Greed,Greed,Hold,0.2898695301439995,0.2051734363917197,Good,Hold,0.0,0.9585050723702688,1.0072724575906926,Hold,1.2473182678222656,56.576622009277344,54.253210639953615,1,-0.023516667232417743,0.0038823752583942994,Hold,0.0,1.0
174,2019-10-23,58.44400024414063,58.45842326091589,57.97295104383975,58.18444461705697,75828800,0.0134186786217804,54.48396975199382,0.0126398441065864,1.4399104817667023,Greed,1.0616174146315749,Greed,Greed,Hold,1.0616174146315749,0.2150797861988539,Good,Hold,0.0,0.9585050723702688,1.0207887229836732,Hold,2.1173133850097727,57.455755615234374,55.273421096801755,1,-0.06913340782648014,0.0134186786217807,Hold,0.0,1.0
175,2019-10-24,58.54014587402344,58.83335159243042,58.114756648600185,58.76365316728542,69275200,0.0016450898207032,54.64811681111654,0.0126054848442568,1.4422792638429809,Greed,0.1305058743101596,Greed,Greed,Hold,0.1305058743101596,0.2229082671694646,Good,Hold,0.0,0.9585050723702688,1.0224680121209422,Hold,1.9947776794433594,57.85471115112305,55.558095169067386,1,-0.0027183295964620102,0.001645089820702994,Hold,0.0,1.0
184,2019-11-06,61.82307815551758,61.883161230177926,61.37365793055572,61.710121681781736,75864400,0.0004279113512375,56.894342041015626,0.0133445898519703,1.5231623071546436,Greed,0.0320662797421473,Greed,Greed,Hold,0.0320662797421473,0.3751087240250433,Good,Hold,0.0,0.9585050723702688,1.022905537789606,Hold,3.3598442077636648,61.354425048828126,58.51382045745849,1,-0.007175736949419198,0.0004279113512375421,Hold,0.0,1.0
194,2019-11-20,63.44295883178711,64.13960058313725,62.770416578609314,64.00943681004155,106234400,-0.0116414123375638,60.16715024312337,0.0109304763189754,1.5630720182495084,Greed,-1.065041632024234,Greed,Neutral,Hold,-1.065041632024234,0.3865038387128421,Good,Hold,0.0,0.9585050723702688,1.0109974726418196,Hold,-0.3085632324218679,63.87829742431641,61.80499687194824,1,0.03887847725369098,-0.011641412337563883,Hold,0.0,1.0
196,2019-11-22,63.103065490722656,63.44053935025517,62.87647432295545,63.298318486465696,65325200,-0.0008780773476337,60.64030494689941,0.0101554140167924,1.5546979168458237,Greed,-0.0864639635746767,Greed,Neutral,Hold,-0.0864639635746767,0.2750393113251906,Good,Hold,0.0,0.9585050723702688,1.010109738662578,Hold,-0.9593887329101562,63.65604934692383,62.22801208496094,1,-0.07234844982789801,-0.0008780773476337878,Hold,0.0,1.0
199,2019-11-27,64.56387329101562,64.59762436682284,63.95400724096207,64.01908914324333,65235600,0.0134324908536767,61.40405985514323,0.0106059180281599,1.5906884796872045,Greed,1.266509020530984,Greed,Greed,Hold,1.266509020530984,0.3675633832338064,Good,Hold,0.0,0.9585050723702688,1.0236780284883729,Hold,1.1209144592285156,63.74861602783203,63.0126651763916,1,0.0020133836850666498,0.013432490853676704,Hold,0.0,1.0
214,2019-12-19,67.4998779296875,67.77950120181951,67.24195597172216,67.37453261033633,98369200,0.0010008487867507,64.41898066202799,0.0099635472236331,1.6630241144158195,Greed,0.100451050643563,Greed,Greed,Hold,0.100451050643563,0.2676344226141271,Good,Hold,0.0,0.9585050723702688,1.024702575401209,Hold,2.0634078979492188,67.26268920898437,64.89156608581543,1,-0.0004487873176806101,0.0010008487867507743,Hold,0.0,1.0
215,2019-12-20,67.36009216308594,68.1338730046536,67.14796358631695,68.03263450161938,275978000,-0.0020709039910734,64.57976404825847,0.0098697572365375,1.6595801511400243,Greed,-0.2098231943747294,Greed,Neutral,Hold,-0.2098231943747294,0.2316003501658508,Good,Hold,0.0,0.9585050723702688,1.0225805147481475,Hold,1.0341339111328125,67.46951599121094,65.10164451599121,1,-0.009413312848373323,-0.0020709039910734584,Hold,0.0,1.0
218,2019-12-26,69.8839340209961,69.90080955880055,68.62804531588958,68.6569706056224,93121200,0.0198403897378069,65.17340126037598,0.010588656903709,1.721761150564182,Greed,1.8737399764891047,Greed,Greed,Hold,1.8737399764891047,0.3252215585720461,Good,Hold,0.0,0.9585050723702688,1.042868910699038,Hold,2.4515457153320312,68.34551696777343,65.89399108886718,1,0.043319241493472216,0.019840389737806996,Hold,0.0,1.0
221,2019-12-31,70.78546142578125,70.79269274701018,69.78990785044671,69.88874081149524,100805600,0.0073066163425488,65.8330852508545,0.0102903826497535,1.7439724768650409,Greed,0.7100432113400396,Greed,Greed,Hold,0.7100432113400396,0.3222872362555445,Good,Hold,0.0,0.9585050723702688,1.0504887537250878,Hold,2.3261642456054688,69.86463775634766,66.80662117004394,1,-0.00900989943247188,0.007306616342548811,Hold,0.0,1.0
222,2020-01-02,72.4005126953125,72.46077614730521,71.15667416341765,71.40977771923563,135480400,0.0228161438380201,66.10025316874186,0.0108837541508616,1.783763203746742,Greed,2.096348697495513,Greed,Greed,Hold,2.096348697495513,0.376728609606766,Good,Hold,0.0,0.9585050723702688,1.0744568562303018,Hold,3.876129150390625,70.63986358642578,67.2995761871338,1,0.05766272463369604,0.02281614383802011,Hold,0.0,1.0
223,2020-01-03,71.69664764404297,72.45596582996416,71.47246932030643,71.62915285765841,146322800,-0.0097218241289485,66.35046730041503,0.0110986803617545,1.7664217715922264,Greed,-0.8759441494008082,Greed,Neutral,Hold,-0.8759441494008082,0.3571379803439794,Good,Hold,0.0,0.9585050723702688,1.064011175639888,Hold,1.812713623046875,71.00240631103516,67.72973670959473,1,0.019747433460345576,-0.009721824128948509,Hold,0.0,1.0
224,2020-01-06,72.26792907714844,72.30649856939735,70.5685026643333,70.81920068576198,118387200,0.0079680354922833,66.64463297526042,0.0107321903436414,1.7804966829626152,Greed,0.7424426176902644,Greed,Greed,Hold,0.7424426176902644,0.4173874553344626,Good,Hold,0.0,0.9585050723702688,1.0724892544515727,Hold,2.4105300903320312,71.48451232910156,68.14218063354492,1,-0.03302104449966925,0.00796803549228331,Hold,0.0,1.0
226,2020-01-08,73.0851058959961,73.38642316119072,71.63155170295238,71.63155170295238,132079200,0.0160863357366278,67.26968510945638,0.0108965785046929,1.8006298268610514,Greed,1.476274018463667,Greed,Greed,Hold,1.476274018463667,0.4685310115338446,Good,Hold,0.0,0.9585050723702688,1.0897416766726065,Hold,2.2996444702148438,72.27564849853516,68.91295013427734,1,0.014716920553768498,0.016086335736627877,Hold,0.0,1.0
229,2020-01-13,76.40442657470703,76.43094632364196,75.0039042885127,75.1220256778742,121532000,0.0213643993785621,68.38190790812175,0.0111044734182951,1.8824093870837453,Greed,1.9239452942778288,Greed,Greed,Hold,1.9239452942778288,0.5299097916935137,Good,Hold,0.0,0.9585050723702688,1.113023353072504,Hold,4.136497497558594,74.172265625,70.43412208557129,1,0.02735084627782225,0.02136439937856216,Hold,0.0,1.0
232,2020-01-16,75.98979949951172,76.10068954693726,75.23048148138665,75.5920621906251,108829200,0.0125264907801867,69.57432123819987,0.0104295047584425,1.872194037875888,Greed,1.201062856800245,Greed,Greed,Hold,1.201062856800245,0.6119575585915868,Good,Hold,0.0,0.9585050723702688,1.1269656298428992,Hold,1.3522872924804688,75.52457427978516,71.68567352294922,1,-0.074577106343092,0.01252649078018675,Hold,0.0,1.0
252,2020-02-14,78.5163345336914,78.76520890109116,78.00891869878639,78.46558778851511,80113600,0.0002461909890016,76.06750615437825,0.0165159151453648,1.934441390265681,Greed,0.0149062880763645,Greed,Greed,Hold,0.0149062880763645,0.2390196054744728,Good,Hold,0.0,0.9585050723702688,1.1272430786258811,Hold,1.1888046264648438,78.19884490966797,77.03935356140137,1,-0.022914183373597075,0.00024619098900169334,Hold,0.0,1.0
258,2020-02-25,69.6075668334961,73.09906307526451,69.13640088272064,72.71729750302329,230673600,-0.0338725838086348,76.45222396850586,0.0200670826932294,1.7149521708838855,Fear,-1.6879675200652535,Fear,Fear,Buy,-1.6879675200652535,-0.0720895952717857,Poor,Hold,0.0,0.9585050723702688,1.0890604429724224,Hold,-7.471099853515625,74.57686920166016,76.64353790283204,0,0.04708526132093427,-0.03387258380863489,Hold,0.0,1.0
261,2020-02-28,66.05087280273438,67.27108839739219,61.94564985853806,62.16070051513256,426510000,-0.0005850513155112,75.65307032267252,0.0229041911032813,1.6273243392170365,Fear,-0.0255434174851686,Fear,Fear,Buy,-0.0255434174851686,-0.1540265945850438,Poor,Hold,0.0,0.9585050723702688,1.0884232867275903,Hold,-9.590118408203125,68.9015625,75.14445495605469,0,0.00039352232955125466,-0.0005850513155112314,Hold,0.0,1.0
262,2020-03-02,72.20025634765625,72.8357338359803,67.1043654657983,68.20617931193843,341397200,0.0931007159176753,75.52675221761068,0.0288581236249784,1.7788294002284004,Fear,3.2261527855224506,Greed,Neutral,Hold,3.2261527855224506,-0.0865235969609703,Poor,Hold,0.0,0.9585050723702688,1.189756273943398,Hold,0.1522369384765625,68.93200988769532,75.02403869628907,0,0.25994947801689117,0.09310071591767533,Hold,0.0,1.0
267,2020-03-09,64.31356811523438,67.19374467213605,63.54761077884886,63.72883020122201,286744800,-0.0790921216169255,74.34605433146159,0.0341344028320336,1.584521601226759,Fear,-2.3170793995171666,Fear,Fear,Buy,-2.3170793995171666,-0.2307189564632549,Poor,Hold,0.0,0.9585050723702688,1.0956559260301666,Hold,-7.886688232421875,69.59696197509766,73.19972648620606,0,0.09546085789257308,-0.07909212161692558,Hold,0.0,1.0
269,2020-03-11,66.55103302001953,67.95004932218703,65.68842661681832,67.02462518678024,255598800,-0.0347303240993052,73.82747446695963,0.0366136322239173,1.6396470059821986,Fear,-0.9485626524816116,Fear,Fear,Buy,-0.9485626524816116,-0.1885415278160845,Poor,Hold,0.0,0.9585050723702688,1.0576034406178145,Hold,-6.598793029785156,68.08486938476562,72.228511428833,0,0.00040060342786496506,-0.03473032409930521,Hold,0.0,1.0
274,2020-03-18,59.60186004638672,60.40647473225053,57.29433197423103,57.934642818544056,300233600,-0.0244800454235799,71.30218861897787,0.0517012748958917,1.4684371818335349,Fear,-0.4734901696887389,Fear,Fear,Buy,-0.4734901696887389,-0.2726467425235806,Poor,Hold,0.0,0.9585050723702688,1.0317132603513561,Hold,-6.9491729736328125,61.273434448242185,67.97952003479004,0,-0.007661276028407493,-0.024480045423580066,Hold,0.0,1.0
278,2020-03-24,59.65260696411133,59.84832336499044,56.61295251663222,57.11070131069981,287531200,0.1003252725750685,68.55217310587565,0.0562225799491772,1.4696874559154556,Fear,1.7844302532142469,Greed,Neutral,Hold,1.7844302532142469,-0.2949539800110161,Poor,Hold,0.0,0.9585050723702688,1.1352201744154187,Hold,-1.4449234008789134,57.60072021484375,64.66513862609864,0,0.07086992484481369,0.10032527257506851,Hold,0.0,1.0
279,2020-03-25,59.32400131225586,62.39989846973341,59.029217373030974,60.58770393527842,303602000,-0.0055086553392907,67.9554381052653,0.0562230510555596,1.4615914542643382,Fear,-0.0979785912693896,Fear,Fear,Buy,-0.0979785912693896,-0.2859442075674904,Poor,Hold,0.0,0.9585050723702688,1.1289666377403547,Hold,-0.2778587341308594,57.54514846801758,64.09574794769287,0,8.379309217598774e-06,-0.005508655339290791,Hold,0.0,1.0
291,2020-04-13,66.02428436279297,66.13301897916537,64.23141674512242,64.8306516969401,131022800,0.0196280462264701,63.0662176767985,0.058967933907732,1.6266692681540436,Fear,0.3328596565242118,Greed,Neutral,Hold,0.3328596565242118,0.0242531282458818,Good,Hold,0.0,0.9585050723702688,1.151126047094065,Hold,7.693363189697266,64.2343147277832,60.45806674957275,1,0.0016458118879469907,0.019628046226470186,Hold,0.0,1.0
297,2020-04-21,64.84513092041016,66.99076973874533,64.13475030153334,66.75639235940385,180991600,-0.030910394870064,62.64159787495931,0.0543902708142842,1.5976179473305936,Fear,-0.5683074271795349,Fear,Fear,Buy,-0.5683074271795349,0.0179759784688948,Good,Buy,0.0,0.9585050723702688,1.1155442864331715,Hold,-4.513587951660156,67.61755065917968,63.431753158569336,1,-0.029992069901388807,-0.030910394870064084,Buy,-0.030910394870064,0.969089605129936
302,2020-04-28,67.31214904785156,69.06393705890572,67.22033738750322,68.88271760948632,112004800,-0.0162094426626981,63.17857131958008,0.0371011926319694,1.6583989555704852,Fear,-0.4368981564417616,Fear,Fear,Buy,-0.4368981564417616,0.0847797022778354,Good,Buy,0.0,0.9861138332667858,1.0974619352845325,Hold,2.4670181274414062,67.4547103881836,65.1528549194336,1,-0.16301581608228533,-0.016209442662698192,Hold,0.0,0.969089605129936
303,2020-04-29,69.52302551269531,69.99178036647727,68.59518290617446,68.79814778505363,137280800,0.0328451326560983,63.459421157836914,0.0367556200817173,1.7128692892629327,Fear,0.893608449077312,Greed,Neutral,Hold,0.893608449077312,0.0864350752426808,Good,Hold,0.0328451326560983,1.018502872934447,1.1335082181339713,Buy,2.8100967407226562,68.01672973632813,65.55685386657714,1,-0.009314324573876931,0.03284513265609834,Hold,0.0,0.969089605129936
304,2020-04-30,70.98967742919922,71.16606696831562,69.67282086621682,70.06183497622997,183064000,0.0210959161470336,63.83901507059733,0.0364375079495033,1.7490038361600526,Fear,0.5789615518237209,Greed,Neutral,Hold,0.5789615518237209,0.1215167992930961,Good,Hold,0.0,1.018502872934447,1.1574206124556992,Hold,4.535301208496094,68.92378997802734,66.19583263397217,1,-0.008654788886890086,0.021095916147033655,Hold,0.0,0.969089605129936
320,2020-05-22,77.26065826416016,77.34303256146072,76.40298515469343,76.50473859508931,81803200,0.0064382293333842,71.48022893269857,0.0186963202762386,1.903504742968252,Fear,0.3443581003245131,Greed,Neutral,Hold,0.3443581003245131,0.1828366775059459,Good,Hold,0.0064382293333842,1.0782365220193026,1.164872351793875,Buy,2.7086868286132812,76.70924072265625,73.46979637145996,1,-5.6910221235439984e-05,0.006438229333384227,Hold,0.0,0.969089605129936
322,2020-05-27,77.07169342041016,77.21706291080646,75.85545038481993,76.59440888025136,112945200,0.0043570779699619,72.09443003336588,0.0165795742082499,1.898849133186847,Greed,0.262797941324322,Greed,Greed,Hold,0.262797941324322,0.1389569573013647,Good,Hold,0.0043570779699619,1.0829344826158014,1.169947791455694,Buy,1.2041168212890625,77.03582916259765,74.373579788208,1,-0.11137383756585784,0.004357077969961987,Hold,0.0,0.969089605129936
326,2020-06-02,78.33881378173828,78.36304326033381,77.27035810172477,77.71130947324757,87642800,0.0046293261427043,73.3347676595052,0.0154417538943873,1.930067733596036,Greed,0.2997927679955414,Greed,Greed,Hold,0.2997927679955414,0.1942862412318784,Good,Hold,0.0,1.0829344826158014,1.175363861352279,Hold,1.601470947265625,77.50488891601563,75.83648948669433,1,-0.044636031593515035,0.004629326142704393,Hold,0.0,0.969089605129936
327,2020-06-03,78.77006530761719,79.03173182452788,78.08683399477036,78.65861858793946,104491200,0.0055049534842386,73.79893213907877,0.0138384199091117,1.940692666690912,Greed,0.3978021710855836,Greed,Greed,Hold,0.3978021710855836,0.2264898945073823,Good,Hold,0.0,1.0829344826158014,1.1818341847360785,Hold,1.6983718872070312,77.84456329345703,76.18008308410644,1,-0.10383108008594621,0.005504953484238628,Hold,0.0,0.969089605129936
333,2020-06-11,81.3818588256836,85.05482488773967,81.28010535582771,84.63083484447448,201662400,-0.0480104476354487,76.55264790852864,0.0164529045676733,2.005040569763328,Greed,-2.918053006262476,Greed,Neutral,Hold,-2.918053006262476,0.2765136538177813,Good,Hold,0.0,1.0829344826158014,1.1250937964960237,Hold,3.2901687622070312,82.26327209472656,78.27667121887207,1,0.19106416157894857,-0.048010447635448705,Hold,0.0,0.969089605129936
334,2020-06-12,82.0844497680664,84.26496946856898,80.97481077374836,83.5187504243347,200146000,0.0086332624066467,76.92247365315755,0.0161981676062448,2.0223506111380667,Greed,0.5329777180054835,Greed,Greed,Hold,0.5329777180054835,0.2749808593571733,Good,Hold,0.0,1.0829344826158014,1.1348070264732644,Hold,1.76861572265625,82.61699523925782,78.6311264038086,1,-0.015482795781178282,0.008633262406646747,Hold,0.0,0.969089605129936
343,2020-06-25,88.3934326171875,88.43219830369976,86.63205971274161,87.39039728120305,137522400,0.0132756299594485,80.75095494588216,0.0164656311570274,2.177787790246056,Greed,0.806263047729122,Greed,Greed,Hold,0.806263047729122,0.3740482316016286,Good,Hold,0.0,1.0829344826158014,1.1498723046321055,Hold,3.1762924194335938,87.22176971435547,82.92602348327637,1,-0.015150103246289404,0.013275629959448532,Hold,0.0,0.969089605129936
344,2020-06-26,85.67748260498047,88.50973656249651,85.52968795154212,88.2892608623175,205256800,-0.0307256990908952,81.10702616373698,0.0177660836375585,2.1108737379191296,Fear,-1.7294582034916994,Fear,Fear,Buy,-1.7294582034916994,0.3078871418836256,Good,Buy,0.0,1.0829344826158014,1.1145416742070253,Hold,0.9473114013671875,87.4112319946289,83.35837326049804,1,0.07897981365725415,-0.030725699090895287,Hold,0.0,0.969089605129936
