Date,Close,High,Low,Open,Volume,Returns,Rolling Mean,Rolling Volatility,Cumulative Return,Fear_Greed,Risk_Adjustment_Returns
2019-02-14,40.73649978637695,40.84620963108841,40.39782441124615,40.476531198600185,87342800,0.0036430221726986,37.934863026936846,,1.0036430221726986,Greed,
2019-02-15,40.6458740234375,40.95115902339319,40.48607669059228,40.84383289109825,98507200,-0.0022246821257274,38.16412264506023,,1.00141023548066,Greed,
2019-02-19,40.76750564575195,40.88914507060669,40.42406278544301,40.4765339806188,75891200,0.0029924715665929,38.349385579427086,,1.004406927136831,Greed,
2019-02-20,41.02986145019531,41.33753378782997,40.78181877890572,40.82951887269788,104457600,0.006435414683525,38.5460065205892,,1.0108707022239616,Greed,
2019-02-21,40.79851150512695,41.11095129951937,40.61724969597512,40.97500585247645,68998800,-0.0056385748547843,38.71259180704752,,1.0051708321009634,Greed,
2019-02-22,41.25405502319336,41.26120985514692,40.87483437251925,40.92253446530428,75652800,0.0111656896602505,38.87409655253092,,1.0163942576677385,Greed,
2019-02-25,41.55456161499024,41.94570813026803,41.487780768914746,41.53786822311295,87493600,0.0072842922138909,39.04173914591471,,1.023797970445111,Greed,
2019-02-26,41.57842254638672,41.80977182764234,41.30175690127716,41.430551160576144,68280800,0.0005742072703729,39.22213033040365,,1.0243858426831336,Greed,
2019-02-27,41.707218170166016,41.73822487321426,41.19681945157351,41.31130406008195,111341600,0.0030976553676516,39.42494290669759,,1.0275590369872674,Greed,
2019-02-28,41.29698181152344,41.7167513399161,41.24212688971162,41.57603479995883,112861600,-0.0098360997602096,39.58977813720704,,1.0174518637899557,Greed,
2019-03-01,41.73107147216797,41.77400047236852,41.23498240279376,41.56650302616348,103544800,0.01051141370635,39.75427983601888,,1.0281467212565487,Greed,
2019-03-04,41.94096374511719,42.39412025556671,41.49257469823671,41.90280220085392,109744800,0.0050296401588729,39.918495178222656,,1.0333179292949943,Greed,
2019-03-05,41.8646240234375,41.97672124062049,41.62850365631687,41.962411577028405,78949600,-0.0018201708988763,40.07256609598796,,1.0314371140708043,Greed,
2019-03-06,41.62374496459961,41.85509427950601,41.4854121219237,41.65951913111731,83241600,-0.0057537614264262,40.246472676595054,,1.0255024709900795,Greed,
2019-03-07,41.141971588134766,41.604670285672434,41.027490599237154,41.46872115443744,99185600,-0.0115744841526053,40.39941228230794,,1.0136328088911473,Greed,
2019-03-08,41.23974609375,41.27790762437119,40.42644621389484,40.62202132886552,95997600,0.0023765148300143,40.56526870727539,,1.0160417222936662,Greed,
2019-03-11,42.66838073730469,42.72085192885243,41.82169411946825,41.85508454688193,128044000,0.0346421784534507,40.73869056701661,,1.0512396209535149,Greed,
2019-03-12,43.14777374267578,43.56753961096432,42.78047542355031,42.93073415767286,129870400,0.011235322200825,40.939649963378905,,1.0630506368052008,Greed,
2019-03-13,43.33858871459961,43.71780942231808,43.15016840672244,43.46737934842093,124130000,0.0044223596114554,41.159793599446616,,1.06775182900634,Greed,
2019-03-14,43.82036590576172,43.908614914858006,43.54131649050845,43.8609111740343,94318000,0.011116586982903,41.31232274373372,,1.079621585089643,Greed,
2019-03-15,44.39038848876953,44.67898009371108,43.82275112158004,44.08749085728255,156171600,0.0130081657518259,41.47443250020345,,1.093665481617738,Greed,
2019-03-18,44.84354782104492,44.93179318512388,44.31168098754593,44.3140683580027,104879200,0.0102085011576331,41.65101407368978,,1.1048301669528962,Greed,
2019-03-19,44.48818206787109,45.07490392114361,44.34269438014027,44.92226139953133,126585600,-0.0079245682030326,41.778306579589845,,1.09607486494211,Greed,
2019-03-20,44.87693786621094,45.19414879506152,44.05886680985221,44.41662300399111,124140800,0.0087384060276223,41.895363108317056,,1.1056528121486453,Greed,
2019-03-21,46.52976989746094,46.82551632911591,45.2704683808724,45.320555849510406,204136800,0.0368303210922611,42.06703936258952,,1.1463743602366414,Greed,
