Date,Close,High,Low,Open,Volume,Returns,Rolling Mean,Rolling Volatility,Cumulative Return,Fear_Greed,Risk_Adjustment_Returns,Fear_Signal,Investor_Bias,Recommendataion,sharpe_Rato,Rolling_Sharpe,Performance,Recommendation,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Market_Return,Recommendation_Shifted
2019-03-05,41.8646240234375,41.97672124062049,41.62850365631687,41.962411577028405,78949600,-0.0018201708988763,40.07256609598796,,1.0314371140708043,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.0314371140708045,Hold
2019-03-06,41.62374496459961,41.85509427950601,41.4854121219237,41.65951913111731,83241600,-0.0057537614264262,40.246472676595054,,1.0255024709900795,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.0255024709900795,Hold
2019-03-07,41.141971588134766,41.604670285672434,41.027490599237154,41.46872115443744,99185600,-0.0115744841526053,40.39941228230794,,1.0136328088911473,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.0136328088911473,Hold
2019-03-08,41.23974609375,41.27790762437119,40.42644621389484,40.62202132886552,95997600,0.0023765148300143,40.56526870727539,,1.0160417222936662,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.0160417222936662,Hold
2019-03-11,42.66838073730469,42.72085192885243,41.82169411946825,41.85508454688193,128044000,0.0346421784534507,40.73869056701661,,1.0512396209535149,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.0512396209535149,Hold
2019-03-12,43.14777374267578,43.56753961096432,42.78047542355031,42.93073415767286,129870400,0.011235322200825,40.939649963378905,,1.0630506368052008,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.0630506368052008,Hold
2019-03-13,43.33858871459961,43.71780942231808,43.15016840672244,43.46737934842093,124130000,0.0044223596114554,41.159793599446616,,1.06775182900634,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.0677518290063401,Hold
2019-03-14,43.82036590576172,43.908614914858006,43.54131649050845,43.8609111740343,94318000,0.011116586982903,41.31232274373372,,1.079621585089643,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.079621585089643,Hold
2019-03-15,44.39038848876953,44.67898009371108,43.82275112158004,44.08749085728255,156171600,0.0130081657518259,41.47443250020345,,1.093665481617738,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.093665481617738,Hold
2019-03-18,44.84354782104492,44.93179318512388,44.31168098754593,44.3140683580027,104879200,0.0102085011576331,41.65101407368978,,1.1048301669528962,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.1048301669528962,Hold
2019-03-19,44.48818206787109,45.07490392114361,44.34269438014027,44.92226139953133,126585600,-0.0079245682030326,41.778306579589845,,1.09607486494211,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.0960748649421101,Hold
2019-03-20,44.87693786621094,45.19414879506152,44.05886680985221,44.41662300399111,124140800,0.0087384060276223,41.895363108317056,,1.1056528121486453,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.1056528121486455,Hold
2019-03-21,46.52976989746094,46.82551632911591,45.2704683808724,45.320555849510406,204136800,0.0368303210922611,42.06703936258952,,1.1463743602366414,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.1463743602366416,Hold
2019-03-22,45.56620788574219,47.14987492430253,45.50181076136391,46.58938884769909,169630800,-0.0207085058413609,42.23271980285645,,1.1226346601012944,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.1226346601012949,Hold
2019-03-25,45.0152702331543,45.78802127537282,44.50487154702467,45.67592404455743,175381200,-0.0120909261084304,42.37844619750977,,1.1090609673792469,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.109060967379247,Hold
2019-03-26,44.5501823425293,46.002675178612826,44.02309028279383,45.71169986519132,199202000,-0.0103317804872902,42.51646041870117,,1.0976023929172627,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.097602392917263,Hold
2019-03-27,44.95087432861328,45.25854305952079,44.49294682904075,45.01765519484567,119393600,0.0089941716288211,42.656223932902016,,1.1074744172193651,Greed,,Greed,Neutral,Hold,,,Poor,Hold,0.0,1.0,1.1074744172193656,Hold
2019-03-28,45.01049423217773,45.21083680359104,44.72667376970035,45.065349156408665,83121600,0.0013263346810252,42.80361925760905,0.012214929582995,1.1089432989472716,Greed,0.1085830804028256,Greed,Greed,Hold,0.1085830804028256,,Poor,Sell,0.0,1.0,1.1089432989472718,Hold
2019-03-29,45.30386734008789,45.33487404742733,44.96757557971136,45.27524800364219,94256000,0.0065178823942,42.95586484273274,0.0122271638819027,1.116171260951646,Greed,0.5330657589244429,Greed,Greed,Hold,0.5330657589244429,,Poor,Sell,-0.0065178823942,0.9934821176058,1.1161712609516463,Sell
2019-04-01,45.61153030395508,45.71646906225277,44.92940835895731,45.70693049851085,111448000,0.0067910971387412,43.12138671875,0.0121892918577035,1.12375128840824,Greed,0.5571363142354575,Greed,Greed,Hold,0.5571363142354575,,Poor,Sell,-0.0067910971387412,0.9867352840395367,1.1237512884082403,Sell
2019-04-02,46.27456665039063,46.37950903701482,45.56620917996109,45.57574774270704,91062800,0.0145365950674549,43.30495541890462,0.0123402629434195,1.1400868058443616,Greed,1.1779809825856753,Greed,Greed,Hold,1.1779809825856753,,Poor,Sell,-0.0145365950674549,0.9723915127766839,1.1400868058443618,Sell
2019-04-03,46.59178924560547,46.8660675746798,46.067077180669855,46.09092905245227,93087200,0.0068552256277512,43.49035301208496,0.012342999295666,1.147902358133647,Greed,0.5553938279943252,Greed,Greed,Hold,0.5553938279943252,,Poor,Sell,-0.0068552256277512,0.9657255495580894,1.1479023581336472,Sell
2019-04-04,46.67287826538086,46.83505934250355,46.06469194760166,46.458222344190496,76457200,0.0017404143753299,43.68616523742676,0.0122105288183133,1.1499001838992178,Greed,0.1425339066985889,Greed,Greed,Hold,0.1425339066985889,,Poor,Sell,-0.0017404143753299,0.9640447869290152,1.149900183899218,Sell
